,NUMBER,STREET,CITY,REGION,POSTCODE,ADDRESS,bathrooms,bedrooms,comps_link,graphs_data,home_details,last_sold_date,last_sold_price,lot_size_sqft,map,sqft,valuation_range_high,valuation_range_low,year_built,zestimate
554,3,Andover Ln,Bella Vista,AR,72714,3 Andover Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70679336_zpid/,http://www.zillow.com/homedetails/3-Andover-Ln-Bella-Vista-AR-72714/70679336_zpid/#charts-and-data,http://www.zillow.com/homedetails/3-Andover-Ln-Bella-Vista-AR-72714/70679336_zpid/,01/30/1996,120000,16988,http://www.zillow.com/homes/70679336_zpid/,1897,182016.0,164682.0,1995,173349.0
555,4,Andover Ln,Bella Vista,AR,72714,4 Andover Ln Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70688296_zpid/,http://www.zillow.com/homedetails/4-Andover-Ln-Bella-Vista-AR-72714/70688296_zpid/#charts-and-data,http://www.zillow.com/homedetails/4-Andover-Ln-Bella-Vista-AR-72714/70688296_zpid/,06/05/2007,135000,13939,http://www.zillow.com/homes/70688296_zpid/,1637,146837.0,132853.0,1993,139845.0
556,6,Andover Ln,Bella Vista,AR,72714,6 Andover Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70632104_zpid/,http://www.zillow.com/homedetails/6-Andover-Ln-Bella-Vista-AR-72714/70632104_zpid/#charts-and-data,http://www.zillow.com/homedetails/6-Andover-Ln-Bella-Vista-AR-72714/70632104_zpid/,10/21/2008,119000,13504,http://www.zillow.com/homes/70632104_zpid/,1528,151964.0,137492.0,2008,144728.0
557,7,Andover Ln,Bella Vista,AR,72714,7 Andover Ln Bella Vista AR,,,,,,,,,,,,,,
558,8,Andover Ln,Bella Vista,AR,72714,8 Andover Ln Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70649678_zpid/,http://www.zillow.com/homedetails/8-Andover-Ln-Bella-Vista-AR-72714/70649678_zpid/#charts-and-data,http://www.zillow.com/homedetails/8-Andover-Ln-Bella-Vista-AR-72714/70649678_zpid/,10/27/2015,137000,11326,http://www.zillow.com/homes/70649678_zpid/,1550,144432.0,129301.0,1993,137554.0
559,14,Andover Ln,Bella Vista,AR,72714,14 Andover Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70658142_zpid/,http://www.zillow.com/homedetails/14-Andover-Ln-Bella-Vista-AR-72714/70658142_zpid/#charts-and-data,http://www.zillow.com/homedetails/14-Andover-Ln-Bella-Vista-AR-72714/70658142_zpid/,11/01/2012,179000,28749,http://www.zillow.com/homes/70658142_zpid/,2431,209961.0,188172.0,1993,198076.0
560,5,Angus Ln,Bella Vista,AR,72715,5 Angus Ln Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70644699_zpid/,http://www.zillow.com/homedetails/5-Angus-Ln-Bella-Vista-AR-72715/70644699_zpid/#charts-and-data,http://www.zillow.com/homedetails/5-Angus-Ln-Bella-Vista-AR-72715/70644699_zpid/,03/16/2007,165000,13068,http://www.zillow.com/homes/70644699_zpid/,1892,177729.0,160803.0,1993,169266.0
561,7,Angus Ln,Bella Vista,AR,72715,7 Angus Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70712162_zpid/,http://www.zillow.com/homedetails/7-Angus-Ln-Bella-Vista-AR-72715/70712162_zpid/#charts-and-data,http://www.zillow.com/homedetails/7-Angus-Ln-Bella-Vista-AR-72715/70712162_zpid/,01/15/2016,122000,11761,http://www.zillow.com/homes/70712162_zpid/,1640,145818.0,131930.0,1990,138874.0
562,8,Angus Ln,Bella Vista,AR,72715,8 Angus Ln Bella Vista AR,3.0,4,http://www.zillow.com/homes/comps/70692219_zpid/,http://www.zillow.com/homedetails/8-Angus-Ln-Bella-Vista-AR-72715/70692219_zpid/#charts-and-data,http://www.zillow.com/homedetails/8-Angus-Ln-Bella-Vista-AR-72715/70692219_zpid/,09/28/2016,168000,11325,http://www.zillow.com/homes/70692219_zpid/,2578,220391.0,191005.0,1989,209896.0
563,10,Angus Ln,Bella Vista,AR,72715,10 Angus Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70718636_zpid/,http://www.zillow.com/homedetails/10-Angus-Ln-Bella-Vista-AR-72715/70718636_zpid/#charts-and-data,http://www.zillow.com/homedetails/10-Angus-Ln-Bella-Vista-AR-72715/70718636_zpid/,11/21/2007,105000,12197,http://www.zillow.com/homes/70718636_zpid/,1788,180473.0,161566.0,1996,171879.0
564,16,Angus Ln,Bella Vista,AR,72715,16 Angus Ln Bella Vista AR,3.0,4,http://www.zillow.com/homes/comps/70620861_zpid/,http://www.zillow.com/homedetails/16-Angus-Ln-Bella-Vista-AR-72715/70620861_zpid/#charts-and-data,http://www.zillow.com/homedetails/16-Angus-Ln-Bella-Vista-AR-72715/70620861_zpid/,05/07/2012,165000,10454,http://www.zillow.com/homes/70620861_zpid/,2497,250874.0,226982.0,1995,238928.0
565,21,Angus Ln,Bella Vista,AR,72715,21 Angus Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70626276_zpid/,http://www.zillow.com/homedetails/21-Angus-Ln-Bella-Vista-AR-72715/70626276_zpid/#charts-and-data,http://www.zillow.com/homedetails/21-Angus-Ln-Bella-Vista-AR-72715/70626276_zpid/,10/21/2009,240000,82,http://www.zillow.com/homes/70626276_zpid/,1602,248869.0,195059.0,1989,224206.0
566,5,Annabell Ln,Bella Vista,AR,72715,5 Annabell Ln Bella Vista AR,,,,,,,,,,,,,,
567,22,Annabell Ln,Bella Vista,AR,72715,22 Annabell Ln Bella Vista AR,,,,,,,,,,,,,,
568,43,Annabell Ln,Bella Vista,AR,72715,43 Annabell Ln Bella Vista AR,,,,,,,,,,,,,,
569,2,Annan Cir,Bella Vista,AR,72715,2 Annan Cir Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70721482_zpid/,http://www.zillow.com/homedetails/2-Annan-Cir-Bella-Vista-AR-72715/70721482_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Annan-Cir-Bella-Vista-AR-72715/70721482_zpid/,06/22/2007,150000,13504,http://www.zillow.com/homes/70721482_zpid/,1706,169386.0,153254.0,1995,161320.0
570,1,Annette Ln,Bella Vista,AR,72715,1 Annette Ln Bella Vista AR,2.0,2,http://www.zillow.com/homes/comps/70685597_zpid/,http://www.zillow.com/homedetails/1-Annette-Ln-Bella-Vista-AR-72715/70685597_zpid/#charts-and-data,http://www.zillow.com/homedetails/1-Annette-Ln-Bella-Vista-AR-72715/70685597_zpid/,06/12/2013,49000,2613,http://www.zillow.com/homes/70685597_zpid/,984,81792.0,71665.0,1976,77897.0
571,2,Annette Ln,Bella Vista,AR,72715,2 Annette Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70662799_zpid/,http://www.zillow.com/homedetails/2-Annette-Ln-Bella-Vista-AR-72715/70662799_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Annette-Ln-Bella-Vista-AR-72715/70662799_zpid/,01/10/2011,29000,871,http://www.zillow.com/homes/70662799_zpid/,1088,78555.0,67543.0,1977,73416.0
572,3,Annette Ln,Bella Vista,AR,72715,3 Annette Ln Bella Vista AR,1.5,,http://www.zillow.com/homes/comps/70656682_zpid/,http://www.zillow.com/homedetails/3-Annette-Ln-Bella-Vista-AR-72715/70656682_zpid/#charts-and-data,http://www.zillow.com/homedetails/3-Annette-Ln-Bella-Vista-AR-72715/70656682_zpid/,07/02/2007,7000,1742,http://www.zillow.com/homes/70656682_zpid/,984,77399.0,66342.0,,73713.0
573,4,Annette Ln,Bella Vista,AR,72715,4 Annette Ln Bella Vista AR,1.5,,http://www.zillow.com/homes/comps/70645170_zpid/,http://www.zillow.com/homedetails/4-Annette-Ln-Bella-Vista-AR-72715/70645170_zpid/#charts-and-data,http://www.zillow.com/homedetails/4-Annette-Ln-Bella-Vista-AR-72715/70645170_zpid/,03/19/2001,44000,871,http://www.zillow.com/homes/70645170_zpid/,1088,78623.0,67391.0,,74879.0
